merchant_id,merchant_name,merchant_category,business_type,city,state,merchant_status,declared_avg_ticket_size,transaction_count,transaction_amount,average_transaction_value,successful_transactions,failed_transactions,pending_transactions,chargeback_count,disputed_amount,high_severity_chargebacks,critical_chargebacks,failed_rate,chargeback_rate,disputed_amount_rate,risk_score,risk_level,repeated_chargeback_flag,high_failed_rate_flag,high_chargeback_rate_flag
MCH5980,Misra-Ganguly,Transportation,Individual,Kolkata,West Bengal,Active,2762.0,2.0,25578.03,12789.015,1.0,1.0,0.0,27.0,49480.729999999996,12.0,4.0,50.0,1350.0,193.45,100.0,Critical,True,True,True
MCH7833,"Chopra, Baral And Hayre",Books & Stationery,Sole Proprietor,Hyderabad,Telangana,Suspended,648.0,4.0,29625.62,7406.405,3.0,0.0,0.0,22.0,45747.25,6.0,2.0,0.0,550.0,154.42,100.0,Critical,True,False,True
MCH7982,De0 Ltd,Department Store,Partnership,Ludhiana,Punjab,Active,579.0,3.0,29815.54,9938.513333333334,3.0,0.0,0.0,4.0,8333.76,2.0,1.0,0.0,133.33,27.95,60.0,High,True,False,True
MCH5588,Divan-Yohannan,Transportation,Individual,Hyderabad,Telangana,Active,203.0,1.0,11611.32,11611.32,1.0,0.0,0.0,2.0,7728.1,2.0,2.0,0.0,200.0,66.56,60.0,High,False,False,True
MCH3415,Keer Inc,Restaurants & Food,Sole Proprietor,Chennai,Tamil Nadu,Active,,1.0,18888.79,18888.79,1.0,0.0,0.0,2.0,1810.42,2.0,2.0,0.0,200.0,9.58,60.0,High,False,False,True
MCH8425,"Bhatnagar,Comarandhans",Hotel & Lodging,Individual,Jalandhar,Punjab,Active,637.53,2.0,25517.47,12758.735,1.0,1.0,0.0,2.0,13642.3,1.0,1.0,50.0,100.0,53.46,55.0,High,False,True,True
MCH4089,Mistry And Sons,Grocery,Sole Proprietor,Mumbai,Maharashtra,Active,1563.22,5.0,69222.21,13844.442000000001,4.0,1.0,0.0,2.0,11134.04,1.0,1.0,20.0,40.0,16.08,55.0,High,False,True,True
MCH5269,"Lala, Raval And Sahni",Books & Stationery,Partnership,Jalandhar,Punjab,Active,873.0,3.0,29831.190000000002,9943.730000000001,2.0,1.0,0.0,2.0,2742.23,1.0,1.0,33.33,66.67,9.19,55.0,High,False,True,True
MCH2032,"Doshi, Sur And Sarna",Restaurants & Food,Private Limited,Pune,Maharashtra,Active,771.07,1.0,9877.08,9877.08,0.0,1.0,0.0,2.0,2334.54,1.0,1.0,100.0,200.0,23.64,55.0,High,False,True,True
MCH7335,"Narayan, Cheema And Chana",Restaurants & Food,Private Limited,Chennai,Tamil Nadu,Active,699.42,1.0,16849.23,16849.23,0.0,1.0,0.0,2.0,570.66,1.0,1.0,100.0,200.0,3.39,55.0,High,False,True,True
MCH6380,Naik-Kalla,Miscellaneous,Individual,Pune,Maharashtra,Suspended,,4.0,55580.58,13895.145,3.0,1.0,0.0,1.0,19958.58,1.0,1.0,25.0,25.0,35.91,50.0,High,False,True,True
MCH5580,Chatterjee-Andra,Travel,Private Limited,Lucknow,Uttar Pradesh,Active,512.38,3.0,31417.47,10472.49,2.0,1.0,0.0,1.0,12077.97,1.0,1.0,33.33,33.33,38.44,50.0,High,False,True,True
MCH7459,"Gara, Agarwal And Anne",Hotel & Lodging,Individual,Ludhiana,Punjab,Active,2650.18,2.0,5362.7,2681.35,1.0,1.0,0.0,1.0,2891.42,1.0,1.0,50.0,50.0,53.92,50.0,High,False,True,True
MCH7622,Banerjee-Raman,Restaurants & Food,Sole Proprietor,Pune,Maharashtra,Active,1374.5,4.0,57648.82,14412.205,3.0,1.0,0.0,2.0,2685.85,2.0,0.0,25.0,50.0,4.66,50.0,High,False,True,True
MCH8556,"Rout, Dhillon And Sinha",Books & Stationery,Sole Proprietor,Jaipur,Rajasthan,Active,,4.0,37191.770000000004,9297.942500000001,4.0,0.0,0.0,2.0,1446.29,2.0,1.0,0.0,50.0,3.89,50.0,High,False,False,True
MCH1494,Joshi-Bala,Retail,Sole Proprietor,Mumbai,Maharashtra,Active,997.33,6.0,76191.44,12698.573333333334,4.0,2.0,0.0,1.0,1101.44,1.0,1.0,33.33,16.67,1.45,50.0,High,False,True,True
MCH1827,Saha Ltd,Miscellaneous,Partnership,Pune,Maharashtra,Active,790.89,2.0,35763.130000000005,17881.565000000002,1.0,1.0,0.0,1.0,917.78,1.0,1.0,50.0,50.0,2.57,50.0,High,False,True,True
MCH1639,"Borah, Dhaliwal And Morar",Miscellaneous,Partnership,Kolkata,West Bengal,Active,7799.0,2.0,17528.65,8764.325,1.0,1.0,0.0,1.0,609.57,1.0,1.0,50.0,50.0,3.48,50.0,High,False,True,True
MCH2476,Choudhary-Borah,Hotel & Lodging,Private Limited,Kolkata,West Bengal,Active,1108.38,1.0,7894.08,7894.08,0.0,1.0,0.0,1.0,508.34,1.0,1.0,100.0,100.0,6.44,50.0,High,False,True,True
MCH2296,Buch Ltd,Transportation,Partnership,Ludhiana,Punjab,Active,8012.35,2.0,31498.239999999998,15749.119999999999,1.0,0.0,1.0,2.0,23182.93,1.0,1.0,0.0,100.0,73.6,45.0,Medium,False,False,True
MCH2076,Chad Ltd,Books & Stationery,Sole Proprietor,Jalandhar,Punjab,Active,579.16,4.0,65670.48999999999,16417.622499999998,2.0,2.0,0.0,2.0,19469.59,1.0,0.0,50.0,50.0,29.65,45.0,Medium,False,True,True
MCH7728,"Banerjee, Iyengar And Ganguly",Hotel & Lodging,Individual,Jaipur,Rajasthan,Active,750.16,2.0,24781.329999999998,12390.664999999999,1.0,1.0,0.0,3.0,12983.57,0.0,0.0,50.0,150.0,52.39,45.0,Medium,True,True,True
MCH8613,Comar-Tata,Restaurants & Food,Individual,Lucknow,Uttar Pradesh,Suspended,2485.09,4.0,65798.75,16449.6875,3.0,1.0,0.0,2.0,9180.55,1.0,0.0,25.0,50.0,13.95,45.0,Medium,False,True,True
MCH9002,Manne Ltd,Department Store,Partnership,Amritsar,Punjab,Active,2336.66,2.0,10917.66,5458.83,2.0,0.0,0.0,2.0,6592.780000000001,1.0,1.0,0.0,100.0,60.39,45.0,Medium,False,False,True
MCH8921,"Palla, Kanda And Kohli",Grocery,Individual,Jaipur,Rajasthan,Inactive,1560.65,3.0,30981.08,10327.026666666667,2.0,1.0,0.0,2.0,3777.8199999999997,1.0,0.0,33.33,66.67,12.19,45.0,Medium,False,True,True
MCH7879,Sawhney-Goda,Telecom,Individual,Jalandhar,Punjab,Active,1760.85,2.0,14535.550000000001,7267.775000000001,1.0,1.0,0.0,2.0,3604.5,1.0,0.0,50.0,100.0,24.8,45.0,Medium,False,True,True
MCH8037,Patla-Balakrishnan,Telecom,Sole Proprietor,Pune,Maharashtra,Active,327.35,1.0,1094.48,1094.48,0.0,1.0,0.0,2.0,3337.87,1.0,0.0,100.0,200.0,304.97,45.0,Medium,False,True,True
MCH4912,Devi Group,Grocery,Sole Proprietor,Kolkata,West Bengal,Active,1738.86,1.0,11104.18,11104.18,0.0,1.0,0.0,2.0,2947.29,1.0,0.0,100.0,200.0,26.54,45.0,Medium,False,True,True
MCH9984,"Dash, Radhakrishnan And Singh",Transportation,Sole Proprietor,Amritsar,Punjab,Active,956.87,2.0,11959.96,5979.98,2.0,0.0,0.0,3.0,2782.7200000000003,2.0,0.0,0.0,150.0,23.27,45.0,Medium,True,False,True
MCH4857,Sethi-Soni,Transportation,Individual,Ludhiana,Punjab,Active,278.84,3.0,59610.04,19870.013333333332,2.0,1.0,0.0,2.0,1583.54,1.0,0.0,33.33,66.67,2.66,45.0,Medium,False,True,True
MCH8389,Thaman Group,Restaurants & Food,Individual,Mumbai,Maharashtra,Inactive,1716.78,4.0,32484.35,8121.0875,4.0,0.0,0.0,2.0,954.04,1.0,1.0,0.0,50.0,2.94,45.0,Medium,False,False,True
MCH3678,"Ramanathan, Oza And Aggarwal",Apparel & Fashion,Partnership,Jalandhar,Punjab,Active,1617.86,2.0,30388.71,15194.355,2.0,0.0,0.0,2.0,397.91,1.0,1.0,0.0,100.0,1.31,45.0,Medium,False,False,True
MCH4811,Chaudhry-Majumdar,Pharmacy,Private Limited,Delhi,Delhi,Active,615.9,1.0,19233.09,19233.09,0.0,0.0,1.0,2.0,248.1,1.0,1.0,0.0,200.0,1.29,45.0,Medium,False,False,True
MCH2402,Dhillon Group,Pharmacy,Individual,Mumbai,Maharashtra,Active,1477.89,4.0,42858.61,10714.6525,4.0,0.0,0.0,1.0,26842.07,1.0,1.0,0.0,25.0,62.63,40.0,Medium,False,False,True
MCH5133,Sawhney Group,Grocery,Individual,Hyderabad,Telangana,Active,1388.77,2.0,22457.77,11228.885,1.0,1.0,0.0,1.0,15432.0,1.0,0.0,50.0,50.0,68.72,40.0,Medium,False,True,True
MCH1792,Palan-Naidu,Apparel & Fashion,Partnership,Bengaluru,Karnataka,Active,443.5,1.0,2875.88,2875.88,1.0,0.0,0.0,1.0,12115.08,1.0,1.0,0.0,100.0,421.27,40.0,Medium,False,False,True
MCH4421,Sani Llc,Miscellaneous,Sole Proprietor,Ludhiana,Punjab,Active,901.69,2.0,21071.51,10535.755,1.0,1.0,0.0,1.0,9344.29,1.0,0.0,50.0,50.0,44.35,40.0,Medium,False,True,True
MCH8999,Babu And Sons,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,Active,1204.0,5.0,52517.78999999999,10503.557999999999,4.0,0.0,1.0,3.0,9109.83,1.0,0.0,0.0,60.0,17.35,40.0,Medium,True,False,True
MCH3718,"S0M, Barman And Bhavsar",Grocery,Sole Proprietor,Pune,Maharashtra,Active,312.19,3.0,30167.68,10055.893333333333,2.0,1.0,0.0,1.0,9012.82,1.0,0.0,33.33,33.33,29.88,40.0,Medium,False,True,True
MCH2574,Bala And Sons,Apparel & Fashion,Individual,Delhi,Delhi,Suspended,197.23,4.0,49673.65,12418.4125,1.0,2.0,1.0,2.0,8167.11,0.0,0.0,50.0,50.0,16.44,40.0,Medium,False,True,True
MCH9193,Ramachandran-Rao,Apparel & Fashion,Individual,Bengaluru,Karnataka,Active,1693.53,4.0,60694.36,15173.59,4.0,0.0,0.0,1.0,7638.7,1.0,1.0,0.0,25.0,12.59,40.0,Medium,False,False,True
MCH2335,Ganeshltd,Miscellaneous,Private Limited,Pune,Maharashtra,Active,,5.0,42108.65,8421.73,4.0,1.0,0.0,1.0,6782.66,1.0,0.0,20.0,20.0,16.11,40.0,Medium,False,True,True
MCH6856,"Dalal, Morar And Gala",Hotel & Lodging,Private Limited,Chennai,Tamil Nadu,Active,,1.0,16154.71,16154.71,1.0,0.0,0.0,1.0,6446.22,1.0,1.0,0.0,100.0,39.9,40.0,Medium,False,False,True
MCH2105,Nagar-Misra,Pharmacy,Private Limited,Jaipur,Rajasthan,Active,1101.76,3.0,37574.75,12524.916666666666,2.0,1.0,0.0,1.0,6432.0,1.0,0.0,33.33,33.33,17.12,40.0,Medium,False,True,True
MCH7881,Menon Plc,Department Store,Partnership,Pune,Maharashtra,Active,1357.1,3.0,49142.03,16380.676666666666,1.0,1.0,1.0,1.0,6211.43,1.0,0.0,33.33,33.33,12.64,40.0,Medium,False,True,True
MCH3161,Mittal-Bawa,Miscellaneous,Private Limited,Jalandhar,Punjab,Active,2703.14,1.0,5754.44,5754.44,1.0,0.0,0.0,2.0,6033.63,2.0,0.0,0.0,200.0,104.85,40.0,Medium,False,False,True
MCH4225,Karnik Llc,Apparel & Fashion,Individual,Ludhiana,Punjab,Active,537.99,1.0,2298.88,2298.88,1.0,0.0,0.0,1.0,5996.21,1.0,1.0,0.0,100.0,260.83,40.0,Medium,False,False,True
MCH4859,Vasa-Raju,Restaurants & Food,Sole Proprietor,Hyderabad,Telangana,Active,214.0,3.0,17998.48,5999.493333333333,2.0,1.0,0.0,1.0,5976.8,1.0,0.0,33.33,33.33,33.21,40.0,Medium,False,True,True
MCH8076,"Sani, Sanghvi And Butala",Department Store,Individual,Ludhiana,Punjab,Active,470.52,2.0,42663.1,21331.55,2.0,0.0,0.0,3.0,5858.32,1.0,0.0,0.0,150.0,13.73,40.0,Medium,True,False,True
MCH6628,Thakur-Kunda,Telecom,Private Limited,Delhi,Delhi,Active,1718.0,2.0,36218.22,18109.11,2.0,0.0,0.0,2.0,5523.82,2.0,0.0,0.0,100.0,15.25,40.0,Medium,False,False,True
MCH7051,Ramachandran-Rajan,Restaurants & Food,Partnership,Mumbai,Maharashtra,Active,1183.53,1.0,13564.83,13564.83,1.0,0.0,0.0,1.0,5082.98,1.0,1.0,0.0,100.0,37.47,40.0,Medium,False,False,True
MCH2556,"Zachariah, Manne And Bedi",Books & Stationery,Partnership,Kolkata,West Bengal,Active,1248.82,4.0,41313.15,10328.2875,3.0,1.0,0.0,2.0,4726.95,0.0,0.0,25.0,50.0,11.44,40.0,Medium,False,True,True
MCH1569,"Bal, Wali And Sheth",Telecom,Private Limited,Chennai,Tamil Nadu,Active,1678.57,2.0,18507.47,9253.735,1.0,1.0,0.0,1.0,4196.87,1.0,0.0,50.0,50.0,22.68,40.0,Medium,False,True,True
MCH1213,Ray Llc,Pharmacy,Partnership,Pune,Maharashtra,Active,1556.0,2.0,27778.83,13889.415,1.0,1.0,0.0,2.0,3906.11,0.0,0.0,50.0,100.0,14.06,40.0,Medium,False,True,True
MCH1658,Khatri-Mohanty,Restaurants & Food,Sole Proprietor,Jaipur,Rajasthan,Inactive,2016.79,1.0,15988.38,15988.38,1.0,0.0,0.0,1.0,3615.07,1.0,1.0,0.0,100.0,22.61,40.0,Medium,False,False,True
MCH6033,"Sama, Basak And Majumdar",Miscellaneous,Private Limited,Hyderabad,Telangana,Active,365.0,3.0,47718.09,15906.029999999999,2.0,1.0,0.0,2.0,3468.13,0.0,0.0,33.33,66.67,7.27,40.0,Medium,False,True,True
MCH4552,"Palla, Mutti And Jayaraman",Transportation,Sole Proprietor,Jaipur,Rajasthan,Active,912.53,4.0,30748.510000000002,7687.1275000000005,3.0,1.0,0.0,1.0,3187.1,1.0,0.0,25.0,25.0,10.37,40.0,Medium,False,True,True
MCH1269,Shukla Plc,Apparel & Fashion,Individual,Hyderabad,Telangana,Active,1758.28,3.0,34628.46,11542.82,3.0,0.0,0.0,1.0,3023.77,1.0,1.0,0.0,33.33,8.73,40.0,Medium,False,False,True
MCH5127,Sankar Group,Hotel & Lodging,Partnership,Delhi,Delhi,Active,2034.47,1.0,21519.61,21519.61,1.0,0.0,0.0,1.0,2970.62,1.0,1.0,0.0,100.0,13.8,40.0,Medium,False,False,True
MCH1072,Kalla-Khalsa,Restaurants & Food,Private Limited,Mumbai,Maharashtra,Inactive,422.23,3.0,54541.55,18180.516666666666,3.0,0.0,0.0,1.0,2950.32,1.0,1.0,0.0,33.33,5.41,40.0,Medium,False,False,True
MCH2786,Gola Inc,Apparel & Fashion,Partnership,Chennai,Tamil Nadu,Active,576.47,2.0,18841.55,9420.775,0.0,1.0,1.0,2.0,2779.15,0.0,0.0,50.0,100.0,14.75,40.0,Medium,False,True,True
MCH2436,"Bhagat, Amble And Dixit",Transportation,Individual,Lucknow,Uttar Pradesh,Active,2085.74,2.0,29569.88,14784.94,1.0,1.0,0.0,1.0,2703.0,1.0,0.0,50.0,50.0,9.14,40.0,Medium,False,True,True
MCH8679,Dutt-Goel,Telecom,Private Limited,Kolkata,West Bengal,Active,423.15,5.0,73770.66,14754.132000000001,5.0,0.0,0.0,3.0,2680.53,1.0,0.0,0.0,60.0,3.63,40.0,Medium,True,False,True
MCH3806,Parmerllc,Grocery,Sole Proprietor,Jaipur,Rajasthan,Active,1939.0,3.0,15444.2,5148.066666666667,3.0,0.0,0.0,1.0,2655.0,1.0,1.0,0.0,33.33,17.19,40.0,Medium,False,False,True
MCH8374,Nadig-Batra,Apparel & Fashion,Partnership,Amritsar,Punjab,Active,831.77,2.0,28370.27,14185.135,2.0,0.0,0.0,1.0,2615.98,1.0,1.0,0.0,50.0,9.22,40.0,Medium,False,False,True
MCH1193,"Padmanabhan, Sekhon And Dhawan",Restaurants & Food,Partnership,Lucknow,Uttar Pradesh,Active,1712.05,2.0,40509.47,20254.735,1.0,1.0,0.0,1.0,2319.55,1.0,0.0,50.0,50.0,5.73,40.0,Medium,False,True,True
MCH3129,"Ghose,Hariandgarde",Grocery,Sole Proprietor,Ludhiana,Punjab,Active,1908.27,2.0,16699.02,8349.51,2.0,0.0,0.0,3.0,2291.24,1.0,0.0,0.0,150.0,13.72,40.0,Medium,True,False,True
MCH5404,Cherian Group,Hotel & Lodging,Sole Proprietor,Pune,Maharashtra,Active,1440.0,3.0,32629.95,10876.65,3.0,0.0,0.0,1.0,2273.34,1.0,1.0,0.0,33.33,6.97,40.0,Medium,False,False,True
MCH7327,"Krish, Dhar And Choudhury",Telecom,Individual,Kolkata,West Bengal,Active,440.0,2.0,37030.770000000004,18515.385000000002,1.0,1.0,0.0,1.0,2254.1,1.0,0.0,50.0,50.0,6.09,40.0,Medium,False,True,True
MCH3095,Hans-Shan,Miscellaneous,Partnership,Kolkata,West Bengal,Active,1208.82,4.0,29213.29,7303.3225,4.0,0.0,0.0,1.0,2212.96,1.0,1.0,0.0,25.0,7.58,40.0,Medium,False,False,True
MCH8451,"Kala, Pradhan And Hayre",Restaurants & Food,Partnership,Hyderabad,Telangana,Active,1874.56,4.0,41658.6,10414.65,3.0,1.0,0.0,1.0,2158.72,1.0,0.0,25.0,25.0,5.18,40.0,Medium,False,True,True
MCH4848,"Borra, Balakrishnan And Chad",Apparel & Fashion,Partnership,Delhi,Delhi,Active,3072.49,4.0,60579.31,15144.8275,4.0,0.0,0.0,2.0,2041.38,2.0,0.0,0.0,50.0,3.37,40.0,Medium,False,False,True
MCH1764,"Kurian, Vaidya And Loyal",Miscellaneous,Individual,Lucknow,Uttar Pradesh,Suspended,419.98,3.0,61823.5,20607.833333333332,2.0,1.0,0.0,1.0,1825.0,1.0,0.0,33.33,33.33,2.95,40.0,Medium,False,True,True
MCH6570,Venkataraman Ltd,Medical,Private Limited,Delhi,Delhi,Active,332.15,1.0,4324.0,4324.0,0.0,1.0,0.0,1.0,1708.0,1.0,0.0,100.0,100.0,39.5,40.0,Medium,False,True,True
MCH9787,Nigam Llc,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,Active,717.19,1.0,18775.99,18775.99,1.0,0.0,0.0,2.0,1608.87,2.0,0.0,0.0,200.0,8.57,40.0,Medium,False,False,True
MCH8344,Purohit-Ravi,Department Store,Private Limited,Pune,Maharashtra,Active,337.58,2.0,39923.479999999996,19961.739999999998,1.0,1.0,0.0,1.0,1590.47,1.0,0.0,50.0,50.0,3.98,40.0,Medium,False,True,True
MCH4113,"Anand,Choudharyandcontractor",Pharmacy,Individual,Chennai,Tamil Nadu,Active,,1.0,13334.68,13334.68,1.0,0.0,0.0,1.0,1568.17,1.0,1.0,0.0,100.0,11.76,40.0,Medium,False,False,True
MCH9798,Mann-Gera,Transportation,Individual,Jalandhar,Punjab,Active,952.0,7.0,102847.06,14692.437142857143,5.0,2.0,0.0,1.0,1498.49,1.0,0.0,28.57,14.29,1.46,40.0,Medium,False,True,True
MCH8555,Ar0Ra Plc,Miscellaneous,Private Limited,Delhi,Delhi,Active,1643.0,4.0,51577.36,12894.34,3.0,0.0,1.0,1.0,1467.82,1.0,1.0,0.0,25.0,2.85,40.0,Medium,False,False,True
MCH5753,Handa Inc,Restaurants & Food,Sole Proprietor,Hyderabad,Telangana,Active,3518.1,4.0,58291.41,14572.8525,3.0,1.0,0.0,1.0,1422.0,1.0,0.0,25.0,25.0,2.44,40.0,Medium,False,True,True
MCH7408,Bala Group,Miscellaneous,Private Limited,Hyderabad,Telangana,Active,1032.22,3.0,41807.95,13935.983333333332,1.0,0.0,1.0,1.0,1379.0,1.0,1.0,0.0,33.33,3.3,40.0,Medium,False,False,True
MCH1299,Mutti Plc,Apparel & Fashion,Partnership,Jaipur,Rajasthan,Active,605.64,4.0,66696.20999999999,16674.052499999998,2.0,2.0,0.0,1.0,1368.83,1.0,0.0,50.0,25.0,2.05,40.0,Medium,False,True,True
MCH5119,Raghavan-Shere,Restaurants & Food,Sole Proprietor,Chennai,Tamil Nadu,Active,1149.0,5.0,61190.85,12238.17,5.0,0.0,0.0,1.0,1362.36,1.0,1.0,0.0,20.0,2.23,40.0,Medium,False,False,True
MCH1806,Thaker-Dutt,Apparel & Fashion,Individual,Ludhiana,Punjab,Active,6418.0,2.0,12729.6,6364.8,2.0,0.0,0.0,1.0,1314.21,1.0,1.0,0.0,50.0,10.32,40.0,Medium,False,False,True
MCH6075,"Lad, Menon And Tiwari",Telecom,Private Limited,Bengaluru,Karnataka,Active,709.64,4.0,65545.48999999999,16386.372499999998,3.0,1.0,0.0,1.0,1305.0,1.0,0.0,25.0,25.0,1.99,40.0,Medium,False,True,True
MCH4534,Bumb-Ganguly,Apparel & Fashion,Partnership,Chennai,Tamil Nadu,Active,1225.88,3.0,17970.98,5990.326666666667,2.0,1.0,0.0,1.0,1303.05,1.0,0.0,33.33,33.33,7.25,40.0,Medium,False,True,True
MCH4774,Wadhwa Plc,Department Store,Partnership,Jalandhar,Punjab,Active,374.94,5.0,61501.93,12300.386,3.0,1.0,1.0,1.0,1260.53,1.0,0.0,20.0,20.0,2.05,40.0,Medium,False,True,True
MCH3270,"Chokshi, Dash And Srivastava",Transportation,Partnership,Chennai,Tamil Nadu,Active,1910.46,2.0,40128.96,20064.48,2.0,0.0,0.0,1.0,1074.0,1.0,1.0,0.0,50.0,2.68,40.0,Medium,False,False,True
MCH1874,"Bail, Madan And Mahal",Grocery,Private Limited,Jalandhar,Punjab,Active,928.89,1.0,9577.01,9577.01,1.0,0.0,0.0,1.0,1062.27,1.0,1.0,0.0,100.0,11.09,40.0,Medium,False,False,True
MCH9836,"Nori, Malhotra And Deep",Hotel & Lodging,Sole Proprietor,Chennai,Tamil Nadu,Active,3007.0,2.0,7156.53,3578.265,2.0,0.0,0.0,1.0,1009.36,1.0,1.0,0.0,50.0,14.1,40.0,Medium,False,False,True
MCH2945,Agarwa1-Cherian,Telecom,Sole Proprietor,Jalandhar,Punjab,Inactive,1759.15,1.0,23053.1,23053.1,1.0,0.0,0.0,1.0,847.6,1.0,1.0,0.0,100.0,3.68,40.0,Medium,False,False,True
MCH7332,"Mutti, Reddy And Guha",Department Store,Private Limited,Kolkata,West Bengal,Active,1708.81,1.0,4850.99,4850.99,1.0,0.0,0.0,1.0,792.03,1.0,1.0,0.0,100.0,16.33,40.0,Medium,False,False,True
MCH5563,"Dubey, Wali And Yadav",Apparel & Fashion,Sole Proprietor,Kolkata,West Bengal,Active,2198.0,4.0,63456.6,15864.15,3.0,0.0,1.0,1.0,755.08,1.0,1.0,0.0,25.0,1.19,40.0,Medium,False,False,True
MCH6651,"Choudhry, Sarma And Seshadri",Hotel & Lodging,Sole Proprietor,Delhi,Delhi,Active,2606.0,3.0,34526.56,11508.853333333333,2.0,1.0,0.0,1.0,739.61,1.0,0.0,33.33,33.33,2.14,40.0,Medium,False,True,True
MCH8331,Yogi Inc,Miscellaneous,Sole Proprietor,Bengaluru,Karnataka,Inactive,1372.86,4.0,58668.17,14667.0425,4.0,0.0,0.0,1.0,660.0,1.0,1.0,0.0,25.0,1.12,40.0,Medium,False,False,True
MCH8259,Lall Group,Books & Stationery,Sole Proprietor,Jalandhar,Punjab,Active,2667.52,6.0,99741.78,16623.63,4.0,1.0,0.0,1.0,589.34,1.0,1.0,16.67,16.67,0.59,40.0,Medium,False,False,True
MCH1234,Comar-Kari,Transportation,Sole Proprietor,Jalandhar,Punjab,Active,1120.89,3.0,46349.79,15449.93,2.0,1.0,0.0,2.0,584.74,0.0,0.0,33.33,66.67,1.26,40.0,Medium,False,True,True
MCH6061,Kaur Llc,Medical,Individual,Chennai,Tamil Nadu,Active,1323.16,5.0,87402.38,17480.476000000002,3.0,2.0,0.0,1.0,562.29,1.0,0.0,40.0,20.0,0.64,40.0,Medium,False,True,True
MCH1591,Ramaswamy-Babu,Department Store,Partnership,Amritsar,Punjab,Active,1638.46,5.0,45258.09,9051.617999999999,3.0,2.0,0.0,1.0,384.26,1.0,0.0,40.0,20.0,0.85,40.0,Medium,False,True,True
MCH2284,Nayak Group,Apparel & Fashion,Private Limited,Mumbai,Maharashtra,Suspended,998.2,3.0,42912.04,14304.013333333334,3.0,0.0,0.0,1.0,381.32,1.0,1.0,0.0,33.33,0.89,40.0,Medium,False,False,True
MCH3488,Sarna-Ramaswamy,Apparel & Fashion,Private Limited,Kolkata,West Bengal,Active,1118.6,3.0,26932.89,8977.63,2.0,1.0,0.0,1.0,376.33,1.0,0.0,33.33,33.33,1.4,40.0,Medium,False,True,True
MCH4185,Nath-Chaudhuri,Telecom,Private Limited,Jaipur,Rajasthan,Active,587.44,4.0,28485.33,7121.3325,4.0,0.0,0.0,1.0,355.32,1.0,1.0,0.0,25.0,1.25,40.0,Medium,False,False,True
