complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,customer_match_status,merchant_match_status,transaction_match_status,transaction_user_id,transaction_merchant_id,user_consistency_status,merchant_consistency_status
CBK0000259,TXN00017504,USR24872,MCH9291,2026-01-22 00:00:00,2026-01-30 09:27:00,12647.35,Unauthorized Transaction,merchant service was not delivered after payment.,In Progress,2026-02-13 00:00:00,Low,Chatbot,Matched,Matched,Matched,USR98841,MCH4476,Mismatch,Mismatch
CBK0000164,TXN00010786,USR79443,MCH3729,2026-08-01 02:00:24,2026-01-18 00:00:00,,Duplicate Debit,payment made to unknown merchant as per customer statement.,Closed,2026-01-23 04:00:24,Medium,IVR,Unmatched,Unmatched,Matched,USR32376,MCH5569,Mismatch,Mismatch
CBK0000681,TXN00006290,USR89588,MCH9105,2026-01-28 00:00:00,2026-02-02 00:00:00,,Incorrect Amount,merchant service was not delivered after payment.,Rejected,2026-02-28 00:00:00,Low,IVR,Unmatched,Unmatched,Matched,USR81589,MCH8162,Mismatch,Mismatch
CBK0002683,TXN00004094,USR73891,MCH8154,2026-01-08 00:00:00,2026-01-06 00:00:00,2519.45,Incorrect Amount,suspicious high-value payment disputed by customer.,In Progress,2026-01-21 00:00:00,High,IVR,Unmatched,Matched,Matched,USR15311,MCH9189,Mismatch,Mismatch
CBK0002792,TXN00005061,USR22154,MCH9022,2026-02-28 13:16:03,2026-02-03 00:00:00,1535.65,Account Compromised,customer says amount was debited twice.,Rejected,2026-03-30 00:00:00,High,Chatbot,Matched,Matched,Matched,USR21627,MCH9592,Mismatch,Mismatch
CBK0000594,TXN00065742,USR32980,MCH7020,2026-02-19 00:00:00,,470.0,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,2026-02-24 00:00:00,Medium,Email,Unmatched,Matched,Unmatched,,,Not Applicable,Not Applicable
CBK0001247,TXN00003165,USR41524,MCH2342,2026-04-01 00:00:00,2026-01-09 00:00:00,2714.54,Fraud,suspicious high-value payment disputed by customer.,Resolved,2026-02-03 00:00:00,Medium,Call Center,Unmatched,Unmatched,Matched,USR69890,MCH3877,Mismatch,Mismatch
CBK0000566,TXN00000086,USR11727,MCH4948,2026-02-23 00:00:00,2026-02-24 02:13:00,411.83,Unauthorized Transaction,user says upi pin was not entered by them.,Rejected,2026-03-15 00:00:00,High,Chatbot,Unmatched,Matched,Matched,USR25429,MCH3099,Mismatch,Mismatch
CBK0002764,TXN00014418,USR71468,MCH6403,2026-03-03 00:00:00,2026-03-05 00:00:00,1393.43,Merchant Not Delivered,customer complaint text unclear due to poor call center notes.,Pending Bank,,Medium,Email,Matched,Matched,Matched,USR83064,MCH4070,Mismatch,Mismatch
CBK0000023,TXN00001464,USR92751,MCH2757,2026-03-14 00:00:00,2026-04-13 00:00:00,1112.83,Merchant Not Delivered,merchant service was not delivered after payment.,Resolved,2026-04-16 00:00:00,Medium,IVR,Unmatched,Matched,Matched,USR54217,MCH6682,Mismatch,Mismatch
CBK0000361,TXN00012527,USR24926,MCH7438,2026-02-14 00:00:00,2026-02-16 18:13:57,2311.0,Duplicate Debit,user claims account was compromised before transaction.,Closed,,Low,IVR,Matched,Unmatched,Matched,USR77658,MCH5009,Mismatch,Mismatch
CBK0002544,TXN00018727,USR27888,MCH5076,2026-03-20 01:26:11,2026-03-25 00:00:00,10161.06,Merchant Not Delivered,merchant service was not delivered after payment.,Open,2026-04-24 20:26:11,High,Chatbot,Unmatched,Unmatched,Matched,USR38370,MCH3532,Mismatch,Mismatch
CBK0000430,TXN00018881,USR47299,MCH3382,2026-02-11 03:20:31,2026-02-26 00:00:00,2108.9,Fraud,merchant service was not delivered after payment. urgent,In Progress,2026-03-23 06:20:31,High,IVR,Matched,Matched,Matched,USR65839,MCH4067,Mismatch,Mismatch
CBK0001264,TXN00008143,USR92737,MCH4183,2026-03-22 17:21:29,2026-03-25 22:21:00,240.64,Unauthorized Transaction,merchant service was not delivered after payment.,Open,,Low,IVR,Matched,Unmatched,Matched,USR49678,MCH7933,Mismatch,Mismatch
CBK0001919,TXN00005826,USR72795,MCH2259,2026-01-31 00:00:00,2026-02-04 14:03:00,1770.58,Account Compromised,merchant service was not delivered after payment.,Rejected,2026-08-02 00:00:00,Critical,IVR,Matched,Unmatched,Matched,USR92621,MCH5875,Mismatch,Mismatch
CBK0000069,TXN00002744,USR21384,MCH4252,2026-01-15 01:24:40,,840.07,Merchant Not Delivered,user claims account was compromised before transaction.,In Progress,2026-02-11 00:00:00,Critical,Email,Unmatched,Unmatched,Matched,USR64997,MCH9444,Mismatch,Mismatch
CBK0001760,TXN00017025,USR79110,MCH1320,,2026-03-24 23:17:18,,Fraud,user says upi pin was not entered by them.,Resolved,,Low,IVR,Unmatched,Matched,Matched,USR82580,MCH6022,Mismatch,Mismatch
CBK0002232,TXN00009269,USR99886,MCH1941,2026-01-26 19:24:45,2026-01-29 17:24:45,385.53,Merchant Not Delivered,payment made to unknown merchant as per customer statement.,Closed,,Medium,Chatbot,Matched,Matched,Matched,USR26753,MCH9221,Mismatch,Mismatch
CBK0002798,TXN00066039,USR24087,MCH6965,2026-01-14 00:00:00,2026-01-22 06:27:51,1372.0,Merchant Not Delivered,user reports money deducted but merchant denies receiving payment.,Resolved,2026-09-02 00:00:00,Low,Chatbot,Unmatched,Matched,Unmatched,,,Not Applicable,Not Applicable
CBK0000080,TXN00007630,USR70905,MCH7833,2026-01-11 19:35:00,2026-01-12 06:35:00,963.14,Duplicate Debit,user claims account was compromised before transaction.,In Progress,2026-01-24 00:00:00,Low,Branch,Unmatched,Matched,Matched,USR84869,MCH7595,Mismatch,Mismatch
CBK0000789,TXN00006632,USR56899,MCH7296,2026-03-28 00:00:00,2026-04-03 00:00:00,4124.85,Fraud,merchant service was not delivered after payment.,In Progress,,Low,Email,Unmatched,Unmatched,Matched,USR85582,MCH3403,Mismatch,Mismatch
CBK0002564,TXN00013473,USR78994,MCH2383,2026-02-16 02:17:00,2026-02-26 00:00:00,2485.28,Customer Dispute,customer says amount was debited twice.,Pending Bank,2026-03-04 00:00:00,Medium,Chatbot,Matched,Matched,Matched,USR36784,MCH4042,Mismatch,Mismatch
CBK0000359,TXN00014970,USR35935,MCH3100,,2026-02-20 00:00:00,3336.7,Account Compromised,user reports money deducted but merchant denies receiving payment.,In Progress,2026-12-03 18:19:47,Medium,Chatbot,Unmatched,Unmatched,Matched,USR77147,MCH7497,Mismatch,Mismatch
CBK0002003,TXN00015085,USR71636,MCH4256,2026-01-16 00:00:00,2026-01-18 06:11:00,956.46,Merchant Not Delivered,suspicious high-value payment disputed by customer.,In Progress,2026-09-02 00:00:00,Medium,App,Matched,Unmatched,Matched,USR56369,MCH4665,Mismatch,Mismatch
CBK0002463,TXN00014364,USR87498,MCH4089,2026-01-19 00:00:00,2026-01-21 17:18:16,2489.04,Fraud,customer says amount was debited twice.,Resolved,2026-02-11 00:00:00,Low,Chatbot,Unmatched,Matched,Matched,USR41097,MCH5623,Mismatch,Mismatch
CBK0001171,TXN00006955,USR26685,MCH3901,,2026-02-16 16:57:27,1336.86,Account Compromised,payment made to unknown merchant as per customer statement.,Open,2026-02-19 00:00:00,Low,Chatbot,Unmatched,Unmatched,Matched,USR24029,MCH2105,Mismatch,Mismatch
CBK0002716,TXN00003119,USR34955,MCH8691,,2026-02-24 21:58:58,1198.29,Fraud,payment made to unknown merchant as per customer statement.,Closed,,Low,Email,Unmatched,Unmatched,Matched,USR52907,MCH7013,Mismatch,Mismatch
CBK0001839,TXN00004638,USR67862,MCH8953,2026-02-12 09:49:00,2026-02-12 11:49:00,1651.94,Incorrect Amount,user reports money deducted but merchant denies receiving payment.,In Progress,2026-02-17 00:00:00,High,Email,Unmatched,Matched,Matched,USR58348,MCH9413,Mismatch,Mismatch
CBK0002314,TXN00014145,USR21162,MCH2383,2026-03-09 00:00:00,2026-03-10 21:03:16,3888.0,Fraud,complaint received after multiple failed attempts.,Closed,2026-04-07 00:00:00,Low,IVR,Unmatched,Matched,Matched,USR42221,MCH6068,Mismatch,Mismatch
CBK0000406,TXN00007974,USR33394,MCH3064,,2026-03-11 00:00:00,4101.89,Incorrect Amount,user claims account was compromised before transaction.,Open,2026-03-20 06:27:39,Low,IVR,Unmatched,Unmatched,Matched,USR60585,MCH7695,Mismatch,Mismatch
CBK0002718,TXN00013934,USR84084,MCH7370,2026-02-20 00:00:00,2026-03-22 23:15:17,7727.87,Account Compromised,user claims account was compromised before transaction.,Open,2026-04-04 00:00:00,Low,IVR,Unmatched,Matched,Matched,USR77709,MCH5422,Mismatch,Mismatch
CBK0002400,TXN00015733,USR87357,MCH9878,2026-01-22 00:00:00,2026-01-25 00:00:00,2313.86,Unauthorized Transaction,customer complaint text unclear due to poor call center notes.,Closed,2026-02-22 00:00:00,Medium,IVR,Unmatched,Unmatched,Matched,USR73203,MCH4921,Mismatch,Mismatch
CBK0002758,,USR60667,MCH2383,2026-03-23 06:19:08,2026-03-25 00:00:00,1225.29,Fraud,payment made to unknown merchant as per customer statement.,In Progress,2026-04-13 00:00:00,Medium,Branch,Matched,Matched,Unmatched,,,Not Applicable,Not Applicable
CBK0002250,TXN00008645,USR60783,MCH8613,2026-12-01 12:57:11,2026-01-19 00:00:00,5443.5,Unauthorized Transaction,payment made to unknown merchant as per customer statement.,Closed,,High,Call Center,Unmatched,Matched,Matched,USR84883,MCH5530,Mismatch,Mismatch
CBK0000661,TXN00012553,USR87727,MCH8876,2026-01-21 17:03:00,2026-01-23 00:00:00,901.62,Merchant Not Delivered,user claims account was compromised before transaction.,Resolved,2026-02-15 06:03:00,Low,IVR,Unmatched,Matched,Matched,USR89133,MCH5491,Mismatch,Mismatch
CBK0001020,TXN00084758,USR36590,MCH1368,2026-02-23 00:00:00,2026-02-26 00:00:00,,Merchant Not Delivered,user says upi pin was not entered by them.,Open,2026-03-15 00:00:00,High,IVR,Unmatched,Unmatched,Unmatched,,,Not Applicable,Not Applicable
CBK0002104,TXN00006293,USR48479,MCH8779,2026-08-01 00:00:00,2026-01-19 00:00:00,2214.27,Duplicate Debit,complaint received after multiple failed attempts.,Rejected,,Low,Branch,Unmatched,Matched,Matched,USR54588,MCH3362,Mismatch,Mismatch
CBK0002572,TXN00002760,USR49176,MCH2925,2026-01-15 14:26:16,2026-01-30 00:00:00,1345.79,Unauthorized Transaction,user says upi pin was not entered by them.,Resolved,2026-09-02 00:00:00,Low,IVR,Matched,Unmatched,Matched,USR38441,MCH2180,Mismatch,Mismatch
CBK0000929,TXN00014710,USR38547,MCH5541,2026-01-23 13:11:04,2026-02-03 12:11:04,3089.13,Unauthorized Transaction,merchant service was not delivered after payment.,Open,2026-02-04 12:11:00,Medium,IVR,Matched,Matched,Matched,USR53916,MCH6593,Mismatch,Mismatch
CBK0002608,TXN00012654,USR13367,MCH8076,2026-03-29 04:01:37,,326.32,Account Compromised,user claims account was compromised before transaction.,Resolved,2026-04-24 19:01:00,Low,App,Unmatched,Matched,Matched,USR24944,MCH8269,Mismatch,Mismatch
CBK0002430,TXN00019681,USR37650,MCH5655,2026-01-29 00:00:00,2026-02-04 00:00:00,9661.7,Merchant Not Delivered,customer says amount was debited twice.,Resolved,2026-02-15 00:00:00,High,IVR,Matched,Unmatched,Matched,USR30390,MCH2169,Mismatch,Mismatch
CBK0002156,TXN00013206,USR11987,MCH6665,2026-01-24 09:52:00,2026-01-25 04:52:00,26477.69,Customer Dispute,complaint received after multiple failed attempts.,In Progress,,High,Email,Matched,Matched,Matched,USR36199,MCH4948,Mismatch,Mismatch
CBK0000366,TXN00002078,USR73403,MCH5076,2026-03-02 18:29:32,2026-04-03 00:00:00,6907.46,Incorrect Amount,customer says transaction was not authorized.,Closed,,Low,Call Center,Unmatched,Unmatched,Matched,USR65878,MCH2784,Mismatch,Mismatch
CBK0000432,TXN00094213,USR96958,MCH7286,2026-01-29 00:00:00,2026-02-01 00:00:00,1411.26,Unauthorized Transaction,user reports money deducted but merchant denies receiving payment.,Resolved,2026-02-02 00:00:00,High,Email,Unmatched,Unmatched,Unmatched,,,Not Applicable,Not Applicable
CBK0001972,TXN00001376,USR12133,MCH6555,2026-02-01 02:24:08,2026-06-02 04:24:08,1261.15,Merchant Not Delivered,merchant service was not delivered after payment.,Closed,,Medium,Chatbot,Unmatched,Matched,Matched,USR27616,MCH4871,Mismatch,Mismatch
CBK0001250,TXN00015587,USR11697,MCH8741,2026-02-02 00:00:00,2026-02-05 00:00:00,11364.57,Merchant Not Delivered,complaint received after multiple failed attempts.,Pending Bank,,Low,App,Unmatched,Matched,Matched,USR13875,MCH6858,Mismatch,Mismatch
CBK0001283,TXN00002013,USR31545,MCH5974,,2026-04-03 02:59:29,439.0,Unauthorized Transaction,suspicious high-value payment disputed by customer.,Rejected,2026-03-28 00:00:00,Medium,Call Center,Unmatched,Matched,Matched,USR91537,MCH5761,Mismatch,Mismatch
CBK0000973,TXN00016040,USR25345,MCH3851,2026-02-04 00:00:00,2026-02-06 00:00:00,3127.0,Unauthorized Transaction,complaint received after multiple failed attempts.,Pending Bank,2026-03-07 00:00:00,Low,IVR,Unmatched,Unmatched,Matched,USR91958,MCH2151,Mismatch,Mismatch
CBK0000578,TXN00006468,USR71457,MCH6810,2026-01-09 11:52:43,2026-11-01 20:52:43,7884.04,Unauthorized Transaction,suspicious high-value payment disputed by customer.,In Progress,2026-01-13 00:00:00,Low,IVR,Matched,Unmatched,Matched,USR20876,MCH8850,Mismatch,Mismatch
CBK0001696,TXN00019601,USR19556,MCH5844,2026-03-08 00:00:00,2026-03-09 13:14:00,9956.85,Account Compromised,suspicious high-value payment disputed by customer.,Closed,2026-03-04 00:00:00,High,Chatbot,Unmatched,Unmatched,Matched,USR88644,MCH3297,Mismatch,Mismatch
CBK0002333,TXN00002832,USR10042,MCH1611,2026-03-02 13:26:00,2026-03-05 00:00:00,8214.17,Account Compromised,merchant service was not delivered after payment.,Rejected,2026-04-04 00:00:00,Medium,IVR,Unmatched,Matched,Matched,USR50964,MCH6848,Mismatch,Mismatch
CBK0001122,TXN00015275,USR61052,MCH8979,2026-07-03 00:00:00,2026-03-13 16:27:48,320.53,Merchant Not Delivered,complaint received after multiple failed attempts.,Rejected,2026-04-11 16:27:48,Medium,IVR,Unmatched,Unmatched,Matched,USR36917,MCH8646,Mismatch,Mismatch
CBK0000959,TXN00011129,USR50320,MCH6319,2026-07-02 00:00:00,2026-03-09 11:52:00,4888.42,Unauthorized Transaction,user reports money deducted but merchant denies receiving payment.,Closed,,Medium,Email,Unmatched,Unmatched,Matched,USR38968,MCH8894,Mismatch,Mismatch
CBK0001968,,USR46599,MCH1320,2026-03-21 00:00:00,2026-03-23 00:00:00,2799.09,Customer Dispute,customer says amount was debited twice.,Pending Bank,2026-04-13 03:36:00,Medium,Email,Unmatched,Matched,Unmatched,,,Not Applicable,Not Applicable
CBK0001828,TXN00016623,USR59679,MCH8755,2026-05-01 00:00:00,2026-01-15 08:21:37,818.66,Account Compromised,customer says amount was debited twice. pls check asap,Pending Bank,2026-03-02 08:21:37,High,Branch,Unmatched,Matched,Matched,USR82423,MCH6637,Mismatch,Mismatch
CBK0001654,TXN00012039,USR76792,MCH6492,2026-05-02 00:00:00,2026-07-02 05:28:28,966.0,Incorrect Amount,user reports money deducted but merchant denies receiving payment.,In Progress,2026-02-22 05:28:00,High,Call Center,Unmatched,Matched,Matched,USR61378,MCH9621,Mismatch,Mismatch
CBK0002440,TXN00014010,USR71922,MCH6703,2026-01-31 08:39:15,2026-02-01 08:39:00,1883.55,Unauthorized Transaction,complaint received after multiple failed attempts.,In Progress,,High,IVR,Matched,Unmatched,Matched,USR48060,MCH7579,Mismatch,Mismatch
CBK0001278,TXN00008385,USR17657,MCH3542,2026-02-20 00:00:00,2026-06-04 00:00:00,1944.27,Customer Dispute,payment made to unknown merchant as per customer statement.,Resolved,,Low,Chatbot,Unmatched,Unmatched,Matched,USR35589,MCH3818,Mismatch,Mismatch
CBK0002370,TXN00001816,USR24664,MCH3992,2026-03-25 00:00:00,2026-03-26 19:41:41,6501.45,Duplicate Debit,payment made to unknown merchant as per customer statement.,Pending Bank,2026-04-13 00:00:00,Low,Call Center,Unmatched,Unmatched,Matched,USR41939,MCH6518,Mismatch,Mismatch
CBK0001105,TXN00019695,USR34180,MCH6310,2026-03-04 00:00:00,,1782.96,Duplicate Debit,user reports money deducted but merchant denies receiving payment.,Open,,Medium,Chatbot,Unmatched,Unmatched,Matched,USR50308,MCH1966,Mismatch,Mismatch
CBK0000180,TXN00019503,USR70812,MCH3936,2026-01-18 00:00:00,2026-01-22 00:00:00,1537.27,Merchant Not Delivered,user claims account was compromised before transaction.,In Progress,2026-02-02 00:00:00,Low,Branch,Matched,Matched,Matched,USR41382,MCH4223,Mismatch,Mismatch
CBK0000369,TXN00008758,USR86274,MCH3418,2026-03-18 04:15:38,2026-03-20 15:15:38,11352.0,Unauthorized Transaction,user says upi pin was not entered by them.,In Progress,,Medium,IVR,Unmatched,Matched,Matched,USR71662,MCH2796,Mismatch,Mismatch
CBK0002303,TXN00016593,USR96415,MCH1320,2026-01-11 00:00:00,2026-01-13 00:00:00,6511.97,Unauthorized Transaction,customer complaint text unclear due to poor call center notes.,Resolved,2026-01-22 01:23:48,Medium,IVR,Matched,Matched,Matched,USR39264,MCH3148,Mismatch,Mismatch
CBK0001525,TXN00004103,USR18453,MCH7793,,2026-01-28 00:00:00,4864.83,Account Compromised,user claims account was compromised before transaction.,Closed,2026-02-01 00:00:00,Medium,Email,Unmatched,Unmatched,Matched,USR11449,MCH5600,Mismatch,Mismatch
CBK0000316,TXN00016400,USR40842,MCH3815,2026-03-18 00:00:00,2026-04-18 00:00:00,1616.81,Incorrect Amount,complaint received after multiple failed attempts.,Resolved,2026-03-05 00:00:00,Medium,Chatbot,Unmatched,Unmatched,Matched,USR65826,MCH4243,Mismatch,Mismatch
CBK0001238,TXN00006193,USR35817,MCH7061,2026-03-12 00:00:00,2026-03-13 00:00:00,26207.56,Fraud,customer says amount was debited twice.,In Progress,2026-10-04 00:00:00,Low,App,Matched,Matched,Matched,USR61183,MCH2441,Mismatch,Mismatch
CBK0002585,TXN00018187,USR23937,MCH4560,2026-03-24 00:00:00,2026-03-27 00:00:00,,Account Compromised,customer complaint text unclear due to poor call center notes.,Resolved,2026-04-14 14:38:55,Medium,Chatbot,Matched,Matched,Matched,USR96090,MCH1973,Mismatch,Mismatch
CBK0001427,TXN00019824,USR76289,MCH5563,2026-01-06 00:00:00,2026-05-02 00:00:00,755.08,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Rejected,2026-03-03 08:07:00,Critical,Email,Matched,Matched,Matched,USR23317,MCH6831,Mismatch,Mismatch
CBK0002514,TXN00001801,USR99493,MCH3992,2026-03-12 14:53:38,,4455.8,Merchant Not Delivered,customer says transaction was not authorized.,Pending Bank,2026-03-19 00:00:00,Low,Branch,Unmatched,Unmatched,Matched,USR30317,MCH8669,Mismatch,Mismatch
CBK0001680,TXN00009645,USR11085,MCH7073,2026-01-31 16:31:00,2026-02-02 00:00:00,3937.19,Merchant Not Delivered,complaint received after multiple failed attempts.,Open,,Medium,Chatbot,Unmatched,Unmatched,Matched,USR36986,MCH4067,Mismatch,Mismatch
CBK0002041,TXN00015934,USR69637,MCH2240,,2026-03-24 00:00:00,1508.23,Customer Dispute,customer complaint text unclear due to poor call center notes.,Closed,2026-04-17 00:00:00,High,Chatbot,Matched,Matched,Matched,USR89876,MCH5553,Mismatch,Mismatch
CBK0002780,TXN00040959,USR75376,MCH4293,2026-02-26 00:00:00,2026-03-13 00:00:00,823.15,Merchant Not Delivered,user says upi pin was not entered by them.,In Progress,,High,Chatbot,Unmatched,Unmatched,Unmatched,,,Not Applicable,Not Applicable
CBK0000294,TXN00019876,USR55690,MCH6739,,,2134.32,Duplicate Debit,customer complaint text unclear due to poor call center notes.,Pending Bank,2026-03-20 23:37:00,Low,IVR,Unmatched,Unmatched,Matched,USR50032,MCH2363,Mismatch,Mismatch
CBK0002617,TXN00016671,USR60544,MCH7838,2026-09-02 00:00:00,2026-02-24 00:00:00,1587.1,Customer Dispute,user claims account was compromised before transaction.,Rejected,2026-03-17 23:17:16,Low,Call Center,Unmatched,Matched,Matched,USR22220,MCH5625,Mismatch,Mismatch
CBK0001175,TXN00061071,USR22543,MCH3116,2026-02-04 15:43:17,2026-02-10 00:00:00,,Customer Dispute,customer says amount was debited twice.,In Progress,2026-02-22 11:43:00,Critical,Chatbot,Unmatched,Unmatched,Unmatched,,,Not Applicable,Not Applicable
CBK0001087,TXN00014733,USR20889,MCH5264,2026-06-02 00:00:00,2026-02-06 00:00:00,1558.23,Merchant Not Delivered,suspicious high-value payment disputed by customer.,In Progress,,High,Call Center,Unmatched,Unmatched,Matched,USR72028,MCH4121,Mismatch,Mismatch
