cluster_id,user_count,merchant_count,network_edge_count,transaction_count,transaction_amount,failed_transaction_count,failed_rate,chargeback_count,disputed_amount,chargeback_rate,high_risk_edges,risk_score,risk_level
30,3,1,3,3.0,34337.72,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
31,8,4,11,10.0,147514.31,1.0,10.0,1.0,407.36,10.0,0,40.0,Medium
32,2,1,2,2.0,20256.780000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
33,4,2,5,5.0,81411.88,1.0,20.0,0.0,0.0,0.0,0,10.0,Low
34,23,7,29,27.0,368656.1,5.0,18.51851851851852,2.0,5692.74,7.4074074074074066,0,45.0,Medium
35,5,1,5,5.0,49037.12,1.0,20.0,0.0,0.0,0.0,0,20.0,Low
36,7,2,8,7.0,66060.61,0.0,0.0,1.0,4066.0,14.285714285714285,0,35.0,Medium
37,8,2,9,8.0,102876.59,0.0,0.0,1.0,2551.0,12.5,0,35.0,Medium
38,5,2,6,6.0,88547.93,3.0,50.0,0.0,0.0,0.0,0,20.0,Low
39,9,4,12,12.0,119394.67,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
40,2,2,3,3.0,24077.47,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
41,10,3,12,11.0,167422.32,2.0,18.181818181818183,1.0,923.46,9.090909090909092,0,40.0,Medium
42,5,1,5,5.0,55752.05,3.0,60.0,0.0,0.0,0.0,0,20.0,Low
43,4,1,4,4.0,42537.19,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
44,4,1,4,3.0,53342.65,0.0,0.0,1.0,743.67,33.33333333333333,0,25.0,Medium
45,13,4,16,16.0,183937.67,1.0,6.25,0.0,0.0,0.0,0,15.0,Low
46,4,1,4,4.0,66773.49,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
47,4,2,5,5.0,71435.8,1.0,20.0,0.0,0.0,0.0,0,10.0,Low
48,7,4,10,10.0,176146.7,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
49,5,2,6,6.0,105510.31,1.0,16.666666666666664,0.0,0.0,0.0,0,10.0,Low
50,2,1,2,2.0,19450.84,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
51,12,5,16,16.0,160816.94999999998,1.0,6.25,0.0,0.0,0.0,0,15.0,Low
52,5,2,6,5.0,58019.369999999995,1.0,20.0,1.0,1303.05,20.0,0,45.0,Medium
53,11,5,15,14.0,109053.65,0.0,0.0,1.0,832.0,7.142857142857142,0,40.0,Medium
54,31,11,41,38.0,484177.83999999997,2.0,5.263157894736842,3.0,2047.11,7.894736842105263,0,50.0,High
55,5,1,5,5.0,62144.75,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
56,4,1,4,4.0,56632.26,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
57,14,5,18,17.0,186848.49,4.0,23.52941176470588,1.0,1506.67,5.88235294117647,0,50.0,High
58,2,1,2,2.0,25295.940000000002,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
59,6,2,7,7.0,85341.41,1.0,14.285714285714285,0.0,0.0,0.0,0,10.0,Low
60,2,1,2,2.0,21882.84,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
61,2,1,2,2.0,3060.8,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
62,10,4,13,13.0,153535.89,3.0,23.076923076923077,0.0,0.0,0.0,0,25.0,Medium
63,3,2,4,4.0,50513.94,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
64,4,1,4,4.0,74089.97,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
65,6,2,7,7.0,99744.7,1.0,14.285714285714285,0.0,0.0,0.0,0,10.0,Low
66,2,1,2,2.0,9536.279999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
67,7,3,9,9.0,96683.75,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
68,13,3,15,14.0,128551.88,1.0,7.142857142857142,1.0,8276.16,7.142857142857142,0,40.0,Medium
69,20,7,26,26.0,299279.11,1.0,3.8461538461538463,0.0,0.0,0.0,0,15.0,Low
70,15,5,19,14.0,158243.58,2.0,14.285714285714285,5.0,12912.76,35.714285714285715,0,60.0,High
71,69,18,86,77.0,849416.61,13.0,16.883116883116884,9.0,34688.71,11.688311688311687,0,90.0,Critical
72,2,1,2,2.0,16069.170000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
73,2,1,2,2.0,14599.21,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
74,1,1,1,1.0,16722.14,1.0,100.0,0.0,0.0,0.0,0,10.0,Low
75,3,1,3,3.0,7613.6,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
76,9,2,10,8.0,128801.0,2.0,25.0,2.0,1189.76,25.0,0,50.0,High
77,4,2,5,4.0,57616.2,1.0,25.0,1.0,1443.54,25.0,0,35.0,Medium
78,10,2,11,11.0,156185.8,1.0,9.090909090909092,0.0,0.0,0.0,0,10.0,Low
79,3,1,3,3.0,23341.05,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
80,5,2,6,6.0,98459.14,1.0,16.666666666666664,0.0,0.0,0.0,0,10.0,Low
81,26,11,36,34.0,322795.04,3.0,8.823529411764707,2.0,3937.4,5.88235294117647,0,45.0,Medium
82,9,3,11,10.0,105575.07,3.0,30.0,1.0,0.0,10.0,0,50.0,High
83,10,4,13,11.0,157650.68,1.0,9.090909090909092,2.0,5462.18,18.181818181818183,0,45.0,Medium
84,13,3,15,15.0,188663.77,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
85,3,1,3,2.0,39623.34,0.0,0.0,1.0,5981.0,50.0,0,25.0,Medium
86,4,1,4,3.0,52174.34,1.0,33.33333333333333,1.0,6433.23,33.33333333333333,0,35.0,Medium
87,6,1,6,6.0,67260.09,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
88,10,3,12,11.0,131315.17,0.0,0.0,1.0,1778.59,9.090909090909092,0,40.0,Medium
89,4,1,4,4.0,51992.79,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
90,4,1,4,4.0,42223.32,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
91,8,2,9,9.0,113811.92,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
92,2,1,2,2.0,33953.509999999995,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
93,3,1,3,3.0,39282.35,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
94,2,1,2,2.0,26169.43,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
95,2,1,2,2.0,32217.85,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
96,2,1,2,2.0,25527.92,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
97,4,1,4,3.0,30422.18,1.0,33.33333333333333,1.0,792.99,33.33333333333333,0,35.0,Medium
98,2,1,2,2.0,21224.84,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
99,2,1,2,2.0,8421.42,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
100,4,2,5,5.0,64515.37,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
101,7,2,8,8.0,118873.9,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
102,3,1,3,3.0,24584.09,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
103,8,3,10,10.0,147186.1,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
104,2,1,2,1.0,10901.63,0.0,0.0,1.0,1946.17,100.0,0,25.0,Medium
105,1,1,1,1.0,8537.7,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
106,1,1,1,1.0,9741.23,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
107,4,1,4,4.0,60528.32,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
108,6,2,7,7.0,96238.91,1.0,14.285714285714285,0.0,0.0,0.0,0,10.0,Low
109,7,3,9,9.0,84156.24,1.0,11.11111111111111,0.0,0.0,0.0,0,15.0,Low
110,4,2,5,5.0,52894.079999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
111,11,5,15,14.0,144774.35,3.0,21.428571428571427,1.0,2573.59,7.142857142857142,0,50.0,High
112,4,1,4,4.0,46606.49,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
113,1,1,1,1.0,8818.59,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
114,2,1,2,2.0,21784.1,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
115,8,3,10,9.0,129417.09,1.0,11.11111111111111,1.0,2431.27,11.11111111111111,0,40.0,Medium
116,3,1,3,3.0,56489.03,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
117,7,3,9,9.0,79782.0,1.0,11.11111111111111,0.0,0.0,0.0,0,15.0,Low
118,2,1,2,1.0,20529.94,0.0,0.0,1.0,641.02,100.0,0,25.0,Medium
119,5,1,5,5.0,53878.19,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
120,2,1,2,2.0,26268.120000000003,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
121,3,1,3,3.0,41403.159999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
122,1,1,1,1.0,23177.46,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
123,5,3,7,6.0,90864.26,0.0,0.0,1.0,2231.59,16.666666666666664,0,40.0,Medium
124,3,1,3,3.0,49465.58,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
125,1,1,1,1.0,13768.13,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
126,2,1,2,2.0,3606.08,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
127,24,7,30,28.0,410209.39,2.0,7.142857142857142,2.0,3287.3900000000003,7.142857142857142,0,45.0,Medium
128,2,2,3,3.0,28056.95,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
129,10,2,11,10.0,117839.89,1.0,10.0,1.0,7193.48,10.0,0,35.0,Medium
130,10,5,14,14.0,121006.25,4.0,28.57142857142857,0.0,0.0,0.0,0,25.0,Medium
131,2,1,2,2.0,7504.57,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
132,3,1,3,3.0,49438.28,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
133,3,1,3,3.0,31449.29,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
134,3,1,3,2.0,19758.13,0.0,0.0,1.0,3834.0,50.0,0,25.0,Medium
135,2,1,2,2.0,32956.99,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
136,7,2,8,8.0,121977.0,1.0,12.5,0.0,0.0,0.0,0,10.0,Low
137,2,1,2,2.0,21520.14,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
138,3,1,3,3.0,22564.43,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
139,8,2,9,8.0,92397.38,2.0,25.0,1.0,6485.64,12.5,0,45.0,Medium
140,6,2,7,6.0,60479.89,0.0,0.0,1.0,830.69,16.666666666666664,0,35.0,Medium
141,4,1,4,3.0,42523.759999999995,0.0,0.0,1.0,2080.17,33.33333333333333,0,25.0,Medium
142,4,2,5,4.0,47971.81,0.0,0.0,1.0,1568.41,25.0,0,25.0,Medium
143,2,1,2,2.0,25225.8,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
144,4,1,4,4.0,56953.63,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
145,5,2,6,6.0,39654.05,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
146,2,1,2,2.0,13019.75,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
147,3,1,3,3.0,55252.42,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
148,1,1,1,1.0,927.67,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
149,1,1,1,1.0,24672.72,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
150,2,1,2,2.0,22819.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
151,7,3,9,8.0,67858.14,0.0,0.0,1.0,8160.0,12.5,0,40.0,Medium
152,4,3,6,6.0,59949.92,0.0,0.0,0.0,0.0,0.0,0,5.0,Low
153,3,1,3,3.0,32642.39,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
154,4,3,6,6.0,64095.67,0.0,0.0,0.0,0.0,0.0,0,5.0,Low
155,4,1,4,4.0,44248.35,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
156,7,3,9,9.0,129380.53,1.0,11.11111111111111,0.0,0.0,0.0,0,15.0,Low
157,5,2,6,6.0,71422.63,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
158,1,1,1,1.0,21326.81,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
159,4,2,5,5.0,99044.92,2.0,40.0,0.0,0.0,0.0,0,10.0,Low
160,3,1,3,2.0,21840.300000000003,0.0,0.0,1.0,1038.0,50.0,0,25.0,Medium
161,3,1,3,3.0,32360.510000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
162,5,1,5,5.0,78881.94,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
163,2,1,2,1.0,8135.43,0.0,0.0,1.0,628.55,100.0,0,25.0,Medium
164,2,1,2,1.0,24722.0,1.0,100.0,1.0,4819.26,100.0,0,35.0,Medium
165,10,3,12,11.0,133265.62,1.0,9.090909090909092,1.0,0.0,9.090909090909092,0,40.0,Medium
166,28,10,37,34.0,461945.21,2.0,5.88235294117647,3.0,3700.33,8.823529411764707,0,50.0,High
167,3,1,3,3.0,46531.15,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
168,7,1,7,5.0,50309.28,2.0,40.0,2.0,11282.37,40.0,0,50.0,High
169,10,3,12,12.0,151601.45,1.0,8.333333333333332,0.0,0.0,0.0,0,15.0,Low
170,3,1,3,3.0,36191.94,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
171,4,2,5,5.0,50951.35,2.0,40.0,0.0,0.0,0.0,0,10.0,Low
172,2,1,2,2.0,25385.7,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
173,1,1,1,1.0,10346.93,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
174,5,2,6,5.0,56402.85,0.0,0.0,1.0,252.18,20.0,0,35.0,Medium
175,7,2,8,8.0,83689.97,1.0,12.5,0.0,0.0,0.0,0,10.0,Low
176,11,2,12,12.0,160239.27,1.0,8.333333333333332,0.0,0.0,0.0,0,10.0,Low
177,1,1,1,1.0,17616.82,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
178,6,3,8,8.0,102137.05,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
179,6,2,7,7.0,81007.61,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
180,32,10,41,39.0,516366.04,2.0,5.128205128205128,2.0,5009.780000000001,5.128205128205128,0,45.0,Medium
181,3,1,3,3.0,43872.22,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
182,4,1,4,4.0,66543.66,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
183,2,1,2,2.0,39265.35,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
184,2,1,2,2.0,33637.66,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
185,2,1,2,2.0,26538.309999999998,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
186,6,2,7,5.0,94315.98,0.0,0.0,2.0,1972.39,40.0,0,40.0,Medium
187,3,2,4,4.0,57536.67,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
188,4,1,4,4.0,25510.23,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
189,4,1,4,4.0,47501.7,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
190,17,7,23,21.0,242626.68,4.0,19.047619047619047,2.0,4835.6,9.523809523809524,0,45.0,Medium
191,16,5,20,19.0,216843.67,3.0,15.789473684210526,1.0,4940.0,5.263157894736842,0,40.0,Medium
192,4,1,4,3.0,54274.87,1.0,33.33333333333333,1.0,1855.0,33.33333333333333,0,35.0,Medium
193,7,1,7,6.0,64887.54,1.0,16.666666666666664,1.0,2117.07,16.666666666666664,0,35.0,Medium
194,4,1,4,4.0,66780.25,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
195,1,1,1,1.0,19084.5,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
196,7,3,9,9.0,80183.65,1.0,11.11111111111111,0.0,0.0,0.0,0,15.0,Low
197,17,7,23,21.0,222450.79,1.0,4.761904761904762,2.0,3910.2799999999997,9.523809523809524,0,45.0,Medium
198,8,4,11,9.0,130932.59,0.0,0.0,2.0,9708.15,22.22222222222222,0,45.0,Medium
199,3,1,3,3.0,29322.33,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
200,7,2,8,6.0,74352.97,2.0,33.33333333333333,2.0,20213.88,33.33333333333333,0,50.0,High
201,2,1,2,1.0,20648.08,0.0,0.0,1.0,1405.08,100.0,0,25.0,Medium
202,2,1,2,2.0,15171.619999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
203,3,1,3,3.0,46177.19,1.0,33.33333333333333,0.0,0.0,0.0,0,10.0,Low
204,3,1,3,3.0,43544.55,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
205,3,1,3,3.0,45417.15,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
206,2,1,2,1.0,19507.29,0.0,0.0,1.0,3937.19,100.0,0,25.0,Medium
207,7,3,9,8.0,118732.20999999999,1.0,12.5,1.0,1098.78,12.5,0,40.0,Medium
208,9,4,12,7.0,82084.54,1.0,14.285714285714285,5.0,13722.67,71.42857142857143,0,60.0,High
209,4,1,4,4.0,29139.92,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
210,2,1,2,2.0,31444.35,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
211,5,1,5,3.0,56763.16,0.0,0.0,2.0,326.69,66.66666666666666,0,40.0,Medium
212,8,4,11,11.0,128953.35,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
213,2,1,2,2.0,29658.47,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
214,3,1,3,3.0,47291.619999999995,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
215,2,1,2,2.0,10757.02,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
216,8,2,9,7.0,77623.05,0.0,0.0,2.0,12907.960000000001,28.57142857142857,0,40.0,Medium
217,2,1,2,1.0,20842.91,0.0,0.0,1.0,5150.06,100.0,0,25.0,Medium
218,1,1,1,1.0,16104.14,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
219,2,1,2,2.0,31366.489999999998,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
220,2,1,2,2.0,33981.28,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
221,3,1,3,3.0,48229.8,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
222,3,1,3,3.0,31755.71,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
223,2,1,2,2.0,30200.5,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
224,4,1,4,4.0,32109.839999999997,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
225,3,1,3,3.0,11947.68,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
226,4,2,5,5.0,71159.36,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
227,1,1,1,1.0,12260.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
228,4,1,4,4.0,74295.29,1.0,25.0,0.0,0.0,0.0,0,10.0,Low
229,3,1,3,2.0,26682.1,0.0,0.0,1.0,0.0,50.0,0,25.0,Medium
230,4,2,5,4.0,71159.24,2.0,50.0,1.0,5879.13,25.0,0,35.0,Medium
231,2,1,2,2.0,24542.42,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
232,2,1,2,2.0,16756.63,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
233,10,4,13,11.0,149342.47,4.0,36.36363636363637,2.0,875.81,18.181818181818183,0,55.0,High
234,15,6,20,18.0,207759.95,1.0,5.555555555555555,2.0,1004.75,11.11111111111111,0,45.0,Medium
235,4,2,5,4.0,49158.69,0.0,0.0,1.0,3163.91,25.0,0,25.0,Medium
236,7,2,8,7.0,112362.51,0.0,0.0,1.0,1969.23,14.285714285714285,0,35.0,Medium
237,4,1,4,4.0,43040.14,2.0,50.0,0.0,0.0,0.0,0,10.0,Low
238,3,1,3,3.0,57315.770000000004,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
239,4,2,5,5.0,71590.89,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
240,3,1,3,2.0,26529.989999999998,0.0,0.0,1.0,1010.81,50.0,0,25.0,Medium
241,5,2,6,5.0,64869.51,0.0,0.0,1.0,1995.0,20.0,0,35.0,Medium
242,1,1,1,1.0,23046.92,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
243,3,1,3,3.0,43657.79,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
244,7,2,8,6.0,55795.35,1.0,16.666666666666664,2.0,4959.02,33.33333333333333,0,40.0,Medium
245,23,5,27,26.0,349674.18,1.0,3.8461538461538463,1.0,1002.8,3.8461538461538463,0,20.0,Low
246,2,1,2,2.0,7005.38,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
247,3,1,3,2.0,43097.33,0.0,0.0,1.0,2568.37,50.0,0,25.0,Medium
248,2,1,2,2.0,29229.01,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
249,9,3,11,11.0,88580.89,1.0,9.090909090909092,0.0,0.0,0.0,0,15.0,Low
250,8,3,10,9.0,122832.0,0.0,0.0,1.0,397.65,11.11111111111111,0,40.0,Medium
251,7,2,8,8.0,55297.29,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
252,4,1,4,3.0,65789.6,0.0,0.0,1.0,6694.94,33.33333333333333,0,25.0,Medium
253,15,7,21,20.0,273834.49,1.0,5.0,1.0,1677.54,5.0,0,40.0,Medium
254,4,1,4,4.0,41532.28,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
255,9,5,13,11.0,149463.28,1.0,9.090909090909092,2.0,1545.06,18.181818181818183,0,45.0,Medium
256,3,1,3,2.0,36365.09,0.0,0.0,1.0,13308.54,50.0,0,25.0,Medium
257,2,1,2,2.0,30556.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
258,4,1,4,4.0,70208.15,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
259,7,2,8,8.0,121271.78,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
260,2,1,2,2.0,35509.11,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
261,2,1,2,2.0,26045.05,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
262,3,1,3,2.0,24718.13,0.0,0.0,1.0,4079.0,50.0,0,25.0,Medium
263,5,1,5,5.0,91851.57,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
264,2,1,2,2.0,19582.89,2.0,100.0,0.0,0.0,0.0,0,10.0,Low
265,13,5,17,14.0,151831.76,3.0,21.428571428571427,3.0,10997.42,21.428571428571427,0,60.0,High
266,2,1,2,1.0,11411.44,0.0,0.0,1.0,2097.39,100.0,0,25.0,Medium
267,3,1,3,3.0,50584.56,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
268,3,1,3,3.0,43609.78,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
269,6,2,7,7.0,103097.44,1.0,14.285714285714285,0.0,0.0,0.0,0,10.0,Low
270,3,2,4,3.0,61802.399999999994,0.0,0.0,1.0,1634.47,33.33333333333333,0,25.0,Medium
271,5,2,6,6.0,76617.71,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
272,5,2,6,4.0,39593.81,0.0,0.0,2.0,8220.12,50.0,0,40.0,Medium
273,2,1,2,2.0,15134.619999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
274,6,3,8,8.0,108519.3,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
275,1,1,1,1.0,13800.19,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
276,2,1,2,2.0,11036.78,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
277,4,1,4,3.0,39340.82,0.0,0.0,1.0,255.73,33.33333333333333,0,25.0,Medium
278,2,2,3,3.0,48023.46,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
279,4,1,4,4.0,68177.61,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
280,3,1,3,3.0,34941.89,2.0,66.66666666666666,0.0,0.0,0.0,0,10.0,Low
281,18,7,24,20.0,249842.03,2.0,10.0,4.0,22792.68,20.0,0,55.0,High
282,3,1,3,1.0,1455.49,0.0,0.0,2.0,11466.47,200.0,0,30.0,Medium
283,5,2,6,6.0,71056.64,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
284,6,2,7,5.0,61139.22,0.0,0.0,2.0,8975.310000000001,40.0,0,40.0,Medium
285,8,2,9,8.0,116365.76000000001,0.0,0.0,1.0,1302.0,12.5,0,35.0,Medium
